================================================================================
CRAWLER V2
================================================================================
Fuente: Dirección General de Aeronáutica Civil
URL configurada: https://www.dgac.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.dgac.gob.bo
  Utilizada: https://www.dgac.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.dgac.gob.bo/

URL de trabajo: https://www.dgac.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_24_DGAC] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.dgac.gob.bo/
[FULL_24_DGAC] t=  37.3s | pag= 22 | files= 128 | data=  5 | cola=  71 | prio=50 | https://www.dgac.gob.bo/organigrama-institucional/
[FULL_24_DGAC] t=  38.9s | pag= 23 | files= 129 | data=  5 | cola=  70 | prio=50 | https://www.dgac.gob.bo/rendicion-publica-de-cuentas/
[FULL_24_DGAC] t=  40.6s | pag= 24 | files= 164 | data=  5 | cola=  69 | prio=50 | https://www.dgac.gob.bo/denuncia-hechos-de-corrupcion/
[FULL_24_DGAC] t=  42.4s | pag= 25 | files= 165 | data=  5 | cola=  68 | prio=50 | https://www.dgac.gob.bo/formulario-de-solicitud-de-informacion-2/
[FULL_24_DGAC] t=  44.0s | pag= 26 | files= 165 | data=  5 | cola=  67 | prio=50 | https://www.dgac.gob.bo/constitucion-politica-del-estado/
[FULL_24_DGAC] t=  45.6s | pag= 27 | files= 166 | data=  5 | cola=  66 | prio=50 | https://www.dgac.gob.bo/convenio-de-chicago/
[FULL_24_DGAC] t=  47.4s | pag= 28 | files= 167 | data=  5 | cola=  65 | prio=50 | https://www.dgac.gob.bo/ley-2902/
[FULL_24_DGAC] t=  49.1s | pag= 29 | files= 168 | data=  5 | cola=  64 | prio=50 | https://www.dgac.gob.bo/ley-no-3238-ley-de-27-de-octubre-de-2005/
[FULL_24_DGAC] t=  50.8s | pag= 30 | files= 169 | data=  5 | cola=  63 | prio=50 | https://www.dgac.gob.bo/ds-28478/
[FULL_24_DGAC] t=  52.6s | pag= 31 | files= 170 | data=  5 | cola=  62 | prio=50 | https://www.dgac.gob.bo/ley-n-2027-estatuto-del-funcionario-publico/
[FULL_24_DGAC] t=  54.3s | pag= 32 | files= 171 | data=  5 | cola=  61 | prio=50 | https://www.dgac.gob.bo/ley-de-27-de-octubre-de-2005/
[FULL_24_DGAC] t=  56.1s | pag= 33 | files= 172 | data=  5 | cola=  60 | prio=50 | https://www.dgac.gob.bo/ley-1178/
[FULL_24_DGAC] t=  58.0s | pag= 34 | files= 173 | data=  5 | cola=  59 | prio=50 | https://www.dgac.gob.bo/constitucion-politica-del-estado-2/
[FULL_24_DGAC] t=  59.8s | pag= 35 | files= 174 | data=  5 | cola=  58 | prio=50 | https://www.dgac.gob.bo/normativa-administrativa-interna/
[FULL_24_DGAC] t=  61.6s | pag= 36 | files= 195 | data=  5 | cola=  57 | prio=50 | https://www.dgac.gob.bo/reglamentacion-aeronautica-boliviana-rab/
[FULL_24_DGAC] t=  63.7s | pag= 37 | files= 282 | data=  5 | cola=  56 | prio=50 | https://www.dgac.gob.bo/propuesta-de-nueva-rab/
[FULL_24_DGAC] t=  65.5s | pag= 38 | files= 282 | data=  5 | cola=  55 | prio=50 | https://www.dgac.gob.bo/propuesta-de-enmienda-a-los-manuales-tecnicos-operativos/
[FULL_24_DGAC] t=  67.2s | pag= 39 | files= 305 | data=  5 | cola=  54 | prio=50 | https://www.dgac.gob.bo/propuesta-de-manuales/
[FULL_24_DGAC] t=  69.1s | pag= 40 | files= 305 | data=  5 | cola=  53 | prio=50 | https://www.dgac.gob.bo/aerodromos_privados_autorizados/
[FULL_24_DGAC] t=  71.5s | pag= 41 | files= 815 | data=  5 | cola=  52 | prio=50 | https://www.dgac.gob.bo/circulares-de-asesoramiento/
[FULL_24_DGAC] t=  73.2s | pag= 42 | files= 883 | data=  5 | cola=  51 | prio=50 | https://www.dgac.gob.bo/propuesta-de-enmienda-a-los-anexos-de-la-oaci/
[FULL_24_DGAC] t=  74.9s | pag= 43 | files= 902 | data=  5 | cola=  50 | prio=50 | https://www.dgac.gob.bo/vigilancia-de-la-seguridad-operacional/
[FULL_24_DGAC] t=  76.7s | pag= 44 | files= 902 | data=  5 | cola=  49 | prio=50 | https://www.dgac.gob.bo/manuales-operativos/
[FULL_24_DGAC] t=  78.4s | pag= 45 | files= 914 | data=  5 | cola=  48 | prio=50 | https://www.dgac.gob.bo/formularios-certificacionfiscalizacion/
[FULL_24_DGAC] t=  80.2s | pag= 46 | files= 923 | data=  5 | cola=  48 | prio=50 | https://www.dgac.gob.bo/informacion-obligatoria-estado-de-diseno/
[FULL_24_DGAC] t=  82.1s | pag= 47 | files= 923 | data=  5 | cola=  47 | prio=50 | https://www.dgac.gob.bo/documentos-dna/
[FULL_24_DGAC] t=  83.9s | pag= 48 | files= 942 | data=  5 | cola=  46 | prio=50 | https://www.dgac.gob.bo/formularios-ans-aga/
[FULL_24_DGAC] t=  85.6s | pag= 49 | files= 944 | data=  5 | cola=  45 | prio=50 | https://www.dgac.gob.bo/aerodromos/
[FULL_24_DGAC] t=  87.4s | pag= 50 | files= 953 | data=  5 | cola=  48 | prio=50 | https://www.dgac.gob.bo/servicios/
[FULL_24_DGAC] t=  89.3s | pag= 51 | files=1198 | data=  5 | cola=  47 | prio=50 | https://www.dgac.gob.bo/manual-de-investigacion-de-accidentes-e-incidentes-politicas-y-procedimientos/
[FULL_24_DGAC] t=  90.9s | pag= 52 | files=1200 | data=  5 | cola=  46 | prio=50 | https://aig.dgac.gob.bo/
[FULL_24_DGAC] t=  92.4s | pag= 53 | files=1200 | data=  5 | cola=  45 | prio=50 | https://www.dgac.gob.bo/seguridad-de-la-aviacion-civil/
[FULL_24_DGAC] t=  94.3s | pag= 54 | files=1211 | data=  5 | cola=  44 | prio=50 | https://www.dgac.gob.bo/facilitacion/
[FULL_24_DGAC] t=  96.2s | pag= 55 | files=1221 | data=  5 | cola=  43 | prio=50 | https://www.dgac.gob.bo/autorizaciones-de-vuelos/
[FULL_24_DGAC] t=  97.9s | pag= 56 | files=1238 | data=  5 | cola=  44 | prio=10 | https://www.dgac.gob.bo/informes-mensuales-de-trafico-aereo-2026/
[FULL_24_DGAC] t=  99.6s | pag= 57 | files=1244 | data=  5 | cola=  43 | prio=10 | https://www.dgac.gob.bo/informes-mensuales-de-trafico-aereo-en-bolivia-2025/
[FULL_24_DGAC] t=  99.8s | pag= 58 | files=1246 | data=  5 | cola=  42 | prio=50 | https://www.dgac.gob.bo/ds-27113-reglamento-a-la-ley-no-2341-de-procedimiento-administrativo/
[FULL_24_DGAC] t= 102.7s | pag= 59 | files=1246 | data=  5 | cola=  41 | prio=50 | https://www.dgac.gob.bo/registro-aeronautico-administrativo-2
[FULL_24_DGAC] t= 105.9s | pag= 60 | files=1246 | data=  5 | cola=  40 | prio=50 | https://www.dgac.gob.bo/registro-aeronautico-administrativo/
[FULL_24_DGAC] t= 108.4s | pag= 61 | files=1246 | data=  5 | cola=  39 | prio=50 | https://www.dgac.gob.bo/certificados-revocados/
[FULL_24_DGAC] t= 110.0s | pag= 62 | files=1247 | data=  5 | cola=  38 | prio=50 | https://www.dgac.gob.bo/registro-y-habilitacion-de-aerodromos-de-uso-comunitario-2/
[FULL_24_DGAC] t= 111.7s | pag= 63 | files=1252 | data=  5 | cola=  37 | prio=50 | https://www.dgac.gob.bo/rvsm/
[FULL_24_DGAC] t= 113.3s | pag= 64 | files=1253 | data=  5 | cola=  36 | prio=50 | https://www.dgac.gob.bo/pbn/
[FULL_24_DGAC] t= 115.1s | pag= 65 | files=1254 | data=  5 | cola=  35 | prio=50 | https://www.dgac.gob.bo/sistema-de-gestion-de-la-seguridad-operacional-sspsms
[FULL_24_DGAC] t= 118.5s | pag= 66 | files=1254 | data=  5 | cola=  35 | prio=50 | https://www.dgac.gob.bo/servicios
[FULL_24_DGAC] t= 120.0s | pag= 66 | files=1254 | data=  5 | cola=  34 | prio=50 | https://www.dgac.gob.bo/licencias-del-personal
[FULL_24_DGAC] t= 122.4s | pag= 67 | files=1256 | data=  5 | cola=  39 | prio=50 | https://www.dgac.gob.bo/investigacion-de-accidentes-e-incidentes
[FULL_24_DGAC] t= 125.2s | pag= 68 | files=1256 | data=  5 | cola=  39 | prio=50 | https://www.dgac.gob.bo/aerodromos
[FULL_24_DGAC] t= 127.9s | pag= 68 | files=1256 | data=  5 | cola=  38 | prio=50 | https://www.dgac.gob.bo/gestion-de-la-calidad/
[FULL_24_DGAC] t= 130.1s | pag= 69 | files=1261 | data=  5 | cola=  37 | prio=50 | https://www.dgac.gob.bo/formulario-de-solicitud-de-informacion
[FULL_24_DGAC] t= 133.3s | pag= 70 | files=1338 | data=  5 | cola=  51 | prio=10 | https://www.dgac.gob.bo/informe-de-auditoria-interna-gestion-2026/
[FULL_24_DGAC] t= 135.0s | pag= 71 | files=1347 | data=  5 | cola=  50 | prio=10 | https://www.dgac.gob.bo/informe-de-auditoria-interna-gestion-2025/
[FULL_24_DGAC] t= 136.8s | pag= 72 | files=1359 | data=  5 | cola=  49 | prio=10 | https://www.dgac.gob.bo/informe-de-auditoria-interna-gestion-2024/
[FULL_24_DGAC] t= 138.5s | pag= 73 | files=1369 | data=  5 | cola=  48 | prio=10 | https://www.dgac.gob.bo/informe-de-auditoria-interna-gestion-2023/
[FULL_24_DGAC] t= 140.1s | pag= 74 | files=1382 | data=  5 | cola=  47 | prio=10 | https://www.dgac.gob.bo/informe-de-auditoria-interna-gestion-2022/
[FULL_24_DGAC] t= 141.8s | pag= 75 | files=1389 | data=  5 | cola=  46 | prio=10 | https://www.dgac.gob.bo/informes-de-auditoria-interna-gestion-2021/
[FULL_24_DGAC] t= 143.7s | pag= 76 | files=1408 | data=  5 | cola=  45 | prio=10 | https://www.dgac.gob.bo/informes-de-auditoria-interna-gestion-2020/
[FULL_24_DGAC] t= 145.5s | pag= 77 | files=1433 | data=  5 | cola=  44 | prio=10 | https://www.dgac.gob.bo/informes-de-auditoria-interna-gestion-2019/
[FULL_24_DGAC] t= 147.3s | pag= 78 | files=1454 | data=  5 | cola=  43 | prio=10 | https://www.dgac.gob.bo/informes-de-auditoria-interna-gestion-2018/
[FULL_24_DGAC] t= 149.0s | pag= 79 | files=1481 | data=  5 | cola=  42 | prio=10 | https://www.dgac.gob.bo/informes-de-auditoria-interna-gestion-2017/
[FULL_24_DGAC] t= 150.7s | pag= 80 | files=1502 | data=  5 | cola=  41 | prio=50 | https://www.dgac.gob.bo/dgac-y-caf-conversan-sobre-oportunidades-de-cooperacion-por-la-aviacion-civil-de-bolivia/
[FULL_24_DGAC] t= 152.5s | pag= 81 | files=1502 | data=  5 | cola=  41 | prio=50 | https://www.dgac.gob.bo/dgac-inaugura-el-curso-taller-de-control-de-calidad-y-fiscalizacion-avsec/
[FULL_24_DGAC] t= 154.2s | pag= 82 | files=1502 | data=  5 | cola=  40 | prio=50 | https://www.dgac.gob.bo/concluye-exitosamente-la-visita-de-javier-puente-en-el-marco-del-proyecto-fenix/
[FULL_24_DGAC] t= 155.9s | pag= 83 | files=1502 | data=  5 | cola=  38 | prio=50 | https://www.dgac.gob.bo/4685-2/
[FULL_24_DGAC] t= 158.5s | pag= 84 | files=1553 | data=  5 | cola=  37 | prio=50 | https://www.dgac.gob.bo/formulario-de-salud-para-localizar-a-pasajeros-ii/
[FULL_24_DGAC] t= 160.1s | pag= 85 | files=1555 | data=  5 | cola=  36 | prio=50 | https://sistemasweb.dgac.gob.bo/SISTEMA_RECAUDACIONES/PEL_MEDICO/SolicitudOrdenPago.aspx
[FULL_24_DGAC] t= 161.8s | pag= 86 | files=1555 | data=  5 | cola=  35 | prio=50 | https://www.dgac.gob.bo/drones/
[FULL_24_DGAC] t= 163.8s | pag= 87 | files=1557 | data=  5 | cola=  34 | prio=50 | https://www.dgac.gob.bo/correspondencia-externa/
[FULL_24_DGAC] t= 165.6s | pag= 88 | files=1557 | data=  5 | cola=  33 | prio=50 | https://www.dgac.gob.bo/enlaces-de-interes/
[FULL_24_DGAC] t= 167.3s | pag= 89 | files=1557 | data=  5 | cola=  32 | prio=50 | https://excsbol.dgac.gob.bo/owa
[FULL_24_DGAC] t= 168.1s | pag= 90 | files=1557 | data=  5 | cola=  31 | prio=50 | https://www.dgac.gob.bo/mapa-del-sitio/
[FULL_24_DGAC] t= 170.2s | pag= 91 | files=1557 | data=  5 | cola= 392 | prio=10 | https://www.dgac.gob.bo/anuario-estadistico-dta/
[FULL_24_DGAC] t= 171.9s | pag= 92 | files=1557 | data=  5 | cola= 391 | prio=10 | https://www.dgac.gob.bo/boletin-reglamentario/
[FULL_24_DGAC] t= 173.6s | pag= 93 | files=1557 | data=  5 | cola= 390 | prio=10 | https://www.dgac.gob.bo/informacion-financiera/
[FULL_24_DGAC] t= 175.4s | pag= 94 | files=1557 | data=  5 | cola= 389 | prio=10 | https://www.dgac.gob.bo/registro-de-accidentes-incidentes-graves-incidentes-reportados-en-aviacion-civil-gestion-2021/
[FULL_24_DGAC] t= 177.2s | pag= 95 | files=1557 | data=  5 | cola= 388 | prio=10 | https://www.dgac.gob.bo/reporte-de-dificultades-en-servicio/
[FULL_24_DGAC] t= 179.0s | pag= 96 | files=1557 | data=  5 | cola= 387 | prio=10 | https://www.dgac.gob.bo/incidentes-2021/
[FULL_24_DGAC] t= 180.7s | pag= 97 | files=1558 | data=  5 | cola= 386 | prio=10 | https://www.dgac.gob.bo/estadistica/
[FULL_24_DGAC] t= 182.4s | pag= 98 | files=1558 | data=  5 | cola= 385 | prio=10 | https://www.dgac.gob.bo/la-dgac-presenta-documentos-historicos-y-rinde-homenaje-al-ing-constantino-klaric/
[FULL_24_DGAC] t= 184.0s | pag= 99 | files=1558 | data=  5 | cola= 384 | prio=10 | https://www.dgac.gob.bo/la-dgac-informa-el-logro-historico-de-9232-de-la-icvm-en-la-rendicion-publica-de-cuentas-final-gestion-2021/
[FULL_24_DGAC] t= 185.6s | pag=100 | files=1558 | data=  5 | cola= 383 | prio=10 | https://www.dgac.gob.bo/historico-bolivia-alcanza-el-9232-preliminar-en-la-implementacion-efectiva-en-materia-de-seguridad-operacional/
[FULL_24_DGAC] t= 187.3s | pag=101 | files=1558 | data=  5 | cola= 382 | prio=10 | https://www.dgac.gob.bo/informe-complementario-vuelo-331-operado-por-peruvian-airline-con-la-aeronave-boeing-737-50/
[FULL_24_DGAC] t= 189.0s | pag=102 | files=1559 | data=  5 | cola= 381 | prio=10 | https://www.dgac.gob.bo/alumnos-de-la-especialidad-de-tripulantes-de-cabina-de-pasajeros-del-inac-se-graduaron-dentro-de-los-estandares-de-excelencia/
[FULL_24_DGAC] t= 190.8s | pag=103 | files=1560 | data=  5 | cola= 380 | prio=10 | https://www.dgac.gob.bo/registro-de-datos-en-el-seguimiento-enlace/
[FULL_24_DGAC] t= 192.5s | pag=104 | files=1560 | data=  5 | cola= 379 | prio=10 | https://www.dgac.gob.bo/video-tutorial-registro-de-datos/
[FULL_24_DGAC] t= 194.5s | pag=105 | files=1560 | data=  5 | cola= 378 | prio=50 | https://sistemasweb.dgac.gob.bo/SISTEMA_SIGEDOC/Busqueda_General.aspx
[FULL_24_DGAC] t= 194.9s | pag=106 | files=1560 | data=  5 | cola= 377 | prio=50 | https://vor.dgac.gob.bo/
[FULL_24_DGAC] t= 196.4s | pag=107 | files=1560 | data=  5 | cola= 376 | prio=50 | https://mor.dgac.gob.bo/
[FULL_24_DGAC] t= 198.0s | pag=108 | files=1560 | data=  5 | cola= 375 | prio=50 | https://ibis.dgac.gob.bo/
[FULL_24_DGAC] t= 199.5s | pag=109 | files=1560 | data=  5 | cola= 374 | prio=50 | https://www.dgac.gob.bo/examen-oral/
[FULL_24_DGAC] t= 201.4s | pag=110 | files=1566 | data=  5 | cola= 373 | prio=50 | http://sistemasweb.dgac.gob.bo/SISTEMA_SIPCAO/SOLICITUD/Registro_Solicitud_Externo.aspx
[FULL_24_DGAC] t= 201.6s | pag=110 | files=1566 | data=  5 | cola= 372 | prio=50 | https://sistemasweb.dgac.gob.bo/SISTEMA_SIPCAO/SOLICITUD/Registro_Solicitud_Externo.aspx
[FULL_24_DGAC] t= 201.9s | pag=111 | files=1566 | data=  5 | cola= 371 | prio=50 | https://www.dgac.gob.bo/superficies-limitadoras-de-obstaculos-aerodromos/
[FULL_24_DGAC] t= 203.7s | pag=112 | files=1566 | data=  5 | cola= 387 | prio=50 | https://www.dgac.gob.bo/formulario-de-autoevaluacion-para-operadores-de-aerodromo/
[FULL_24_DGAC] t= 205.4s | pag=113 | files=1583 | data=  5 | cola= 386 | prio=50 | https://www.dgac.gob.bo/administracion-de-la-seguridad-operacional/
[FULL_24_DGAC] t= 207.1s | pag=114 | files=1585 | data=  5 | cola= 385 | prio=50 | https://sistemasweb.dgac.gob.bo/SISTEMA_SIGEPEL
[FULL_24_DGAC] t= 207.9s | pag=115 | files=1585 | data=  5 | cola= 386 | prio=50 | https://www.dgac.gob.bo/formularios-pel/
[FULL_24_DGAC] t= 209.9s | pag=116 | files=1594 | data=  5 | cola= 385 | prio=50 | https://www.dgac.gob.bo/formulario-de-solicitud-y-requisitos/
[FULL_24_DGAC] t= 211.5s | pag=117 | files=1600 | data=  5 | cola= 384 | prio=50 | https://sistemasweb.dgac.gob.bo/WEB_SIRAPA/Busqueda_PEL.aspx
[FULL_24_DGAC] t= 211.7s | pag=118 | files=1601 | data=  5 | cola= 383 | prio=50 | https://sistemasweb.dgac.gob.bo/WEB_SIRAPA/Listado_PEL.aspx
[FULL_24_DGAC] t= 211.9s | pag=119 | files=1601 | data=  5 | cola= 382 | prio=50 | https://www.dgac.gob.bo/lista-de-centros-de-instruccion-y-entrenamiento/
[FULL_24_DGAC] t= 213.6s | pag=120 | files=1603 | data=  5 | cola= 381 | prio=50 | https://aig.dgac.gob.bo/aig
[FULL_24_DGAC] t= 214.7s | pag=121 | files=1603 | data=  5 | cola= 380 | prio=50 | https://www.dgac.gob.bo/escala-salaria-aprobada-2/
[FULL_24_DGAC] t= 216.5s | pag=122 | files=1603 | data=  5 | cola= 379 | prio=50 | https://www.dgac.gob.bo/fuente-de-financiamiento/
[FULL_24_DGAC] t= 218.3s | pag=123 | files=1614 | data=  5 | cola= 378 | prio=50 | https://www.dgac.gob.bo/programa-anual-de-contrataciones-pac/
[FULL_24_DGAC] t= 220.0s | pag=124 | files=1632 | data=  5 | cola= 377 | prio=50 | https://www.dgac.gob.bo/convocatoria-procesos-de-contratacion/
[FULL_24_DGAC] t= 221.7s | pag=125 | files=1637 | data=  5 | cola= 376 | prio=50 | https://www.dgac.gob.bo/convocatorias-de-adquisicion-de-bienes-y-servicios/
[FULL_24_DGAC] t= 223.4s | pag=126 | files=1664 | data=  5 | cola= 375 | prio=50 | https://www.dgac.gob.bo/author/dgacbolivia/
[FULL_24_DGAC] t= 225.2s | pag=127 | files=1664 | data=  5 | cola= 381 | prio=50 | https://www.dgac.gob.bo/contrataciones/
[FULL_24_DGAC] t= 226.9s | pag=128 | files=1664 | data=  5 | cola= 380 | prio=50 | https://www.dgac.gob.bo/notificacion-obligatoria-de-sucesos-de-seguridad-operacional/
[FULL_24_DGAC] t= 228.7s | pag=129 | files=1665 | data=  5 | cola= 379 | prio=50 | https://www.dgac.gob.bo/diferencia-con-los-anexos-oaci/
[FULL_24_DGAC] t= 230.4s | pag=130 | files=1666 | data=  5 | cola= 378 | prio=50 | https://www.dgac.gob.bo/direccion-de-nuestras-oficinas-en-bolivia/
[FULL_24_DGAC] t= 232.2s | pag=131 | files=1667 | data=  5 | cola= 377 | prio=50 | https://www.dgac.gob.bo/documentos/
[FULL_24_DGAC] t= 233.9s | pag=132 | files=1667 | data=  5 | cola= 376 | prio=50 | https://www.dgac.gob.bo/escala-salaria-aprobada/
[FULL_24_DGAC] t= 235.5s | pag=133 | files=1668 | data=  5 | cola= 375 | prio=50 | https://www.dgac.gob.bo/flujo-de-procesos/
[FULL_24_DGAC] t= 237.3s | pag=134 | files=1668 | data=  5 | cola= 374 | prio=50 | https://www.dgac.gob.bo/formulario-de-salud/
[FULL_24_DGAC] t= 239.1s | pag=135 | files=1671 | data=  5 | cola= 373 | prio=50 | https://www.dgac.gob.bo/guia-de-entrenamiento-para-investigadores-de-accidentes-de-aviacion/
[FULL_24_DGAC] t= 240.7s | pag=136 | files=1671 | data=  5 | cola= 372 | prio=50 | https://www.dgac.gob.bo/guia_ran/
[FULL_24_DGAC] t= 242.8s | pag=137 | files=1672 | data=  5 | cola= 371 | prio=50 | https://www.dgac.gob.bo/informacion-de-gestion/
[FULL_24_DGAC] t= 244.4s | pag=138 | files=1672 | data=  5 | cola= 370 | prio=50 | https://www.dgac.gob.bo/iso-9000/
[FULL_24_DGAC] t= 246.1s | pag=139 | files=1672 | data=  5 | cola= 369 | prio=50 | https://www.dgac.gob.bo/ley-no-1415-para-completar-las-modificaciones-a-la-ley-no-2902/
[FULL_24_DGAC] t= 247.7s | pag=140 | files=1672 | data=  5 | cola= 368 | prio=50 | https://www.dgac.gob.bo/listas-de-verifiacion/
[FULL_24_DGAC] t= 249.5s | pag=141 | files=1672 | data=  5 | cola= 367 | prio=50 | https://www.dgac.gob.bo/manual-de-procesos-y-procedimientos/
[FULL_24_DGAC] t= 251.2s | pag=142 | files=1672 | data=  5 | cola= 366 | prio=50 | https://www.dgac.gob.bo/nomina-del-personal-dependiente-de-la-dgac/
[FULL_24_DGAC] t= 252.9s | pag=143 | files=1673 | data=  5 | cola= 365 | prio=50 | https://www.dgac.gob.bo/notificacion-obligatoria-de-sucesos-de-seguridad-operacional-2/
[FULL_24_DGAC] t= 254.6s | pag=144 | files=1673 | data=  5 | cola= 364 | prio=50 | https://www.dgac.gob.bo/pagina-ejemplo/
[FULL_24_DGAC] t= 256.3s | pag=145 | files=1673 | data=  5 | cola= 363 | prio=50 | https://www.dgac.gob.bo/pagina-protegida-con-contrasena/
[FULL_24_DGAC] t= 258.0s | pag=146 | files=1673 | data=  5 | cola= 362 | prio=50 | https://www.dgac.gob.bo/planificacion/
[FULL_24_DGAC] t= 259.7s | pag=147 | files=1673 | data=  5 | cola= 361 | prio=50 | https://www.dgac.gob.bo/politica-de-instruccion/
